id,startup_id,round_type,amount_raised_usd,investor_id,funding_date,equity_diluted_percent,valuation_after_round_usd,lead_investor,currency,created_at,updated_at
1,1,Bridge,29629970,17,2018-04-07,21.6,1017185,Yes,USD,2022-08-23 02:30:55,2023-02-12 23:20:55
2,1,Pre-Seed,22536477,18,2018-04-29,14.37,3005242,No,USD,2021-12-31 20:34:04,2024-08-25 11:27:20
3,1,Convertible Note,10263052,8,2020-02-02,28.8,6966597,Yes,USD,2024-06-27 20:37:49,2024-06-05 05:18:10
4,1,Bridge,27055607,4,2021-04-01,27.64,17341164,No,USD,2021-10-04 17:02:04,2024-11-28 10:34:52
5,2,Bridge,1097071,20,2024-11-14,10.2,1161039,Yes,USD,2018-01-27 04:50:32,2023-12-16 06:10:57
6,2,Convertible Note,574906,13,2022-05-30,19.81,2575747,Yes,USD,2020-11-10 10:04:40,2024-01-15 23:45:03
7,2,Angel,870952,17,2022-01-29,28.58,4349594,No,USD,2019-03-13 07:00:51,2024-07-11 14:52:12
8,4,Convertible Note,724546,1,2022-03-01,16.42,1414500,Yes,USD,2024-03-25 22:54:10,2024-05-10 15:30:29
9,5,Seed,67478338,11,2020-09-19,22.33,969367,No,USD,2023-08-27 12:12:00,2024-09-09 01:00:28
10,6,Angel,5111252,5,2023-07-25,8.52,786037,No,USD,2021-04-03 15:13:56,2024-11-25 01:22:47
11,7,Convertible Note,2169859,20,2024-05-09,28.2,820451,No,USD,2019-05-08 21:37:37,2024-10-08 15:06:24
12,7,Series C,2758164,13,2019-07-08,24.24,1765408,No,USD,2021-04-27 01:38:39,2024-11-28 12:33:54
13,7,Series A,1016930,9,2015-03-07,5.44,3409635,No,USD,2019-09-16 05:59:52,2023-10-16 04:43:24
14,7,Series C,1023243,20,2017-03-31,28.93,9105419,Yes,USD,2019-06-05 02:37:04,2023-09-22 07:39:45
15,8,Convertible Note,378267,10,2023-05-13,21.79,1021384,No,USD,2018-07-25 03:21:31,2024-10-17 18:07:05
16,9,Pre-Seed,25205488,2,2014-07-22,14.92,1276574,Yes,USD,2022-09-13 00:01:32,2023-02-03 04:25:22
17,9,Series A,22662163,15,2020-07-17,19.95,2415892,Yes,USD,2020-06-22 10:18:32,2024-05-27 22:13:22
18,9,Convertible Note,3195029,4,2019-05-13,19.26,5798586,No,USD,2024-05-24 02:52:16,2024-01-29 07:57:45
19,10,Bridge,4958541,8,2023-02-10,8.89,1259084,Yes,USD,2019-01-11 15:44:08,2024-11-04 13:27:23
20,10,Angel,8898108,13,2020-01-16,13.33,2156786,Yes,USD,2023-08-03 21:08:18,2023-01-03 01:51:02
21,10,Angel,548817,2,2014-12-20,12.6,5001924,No,USD,2018-03-13 10:05:37,2023-01-25 17:49:21
22,10,Series B,3697571,16,2023-11-03,7.86,13684525,Yes,USD,2018-08-22 20:44:46,2023-07-22 07:20:57
23,11,Series A,6598652,7,2023-02-08,5.32,1198704,Yes,USD,2018-08-21 23:02:37,2023-02-23 16:52:38
24,11,Series A,1306734,17,2015-04-12,23.18,2792460,No,USD,2023-12-18 01:11:33,2024-10-21 07:21:44
25,11,Series B,1281609,20,2022-06-24,9.49,5592332,Yes,USD,2024-12-21 23:14:03,2023-09-26 22:14:40
26,11,Convertible Note,7198767,8,2022-08-22,15.44,11951072,Yes,USD,2023-12-27 20:01:32,2023-03-26 04:08:43
27,12,Seed,11903454,19,2018-05-26,24.5,1389787,No,USD,2023-02-19 00:55:22,2023-08-14 02:53:55
28,12,Seed,1419229,18,2017-05-18,21.86,4126579,Yes,USD,2018-02-04 19:27:31,2023-07-27 19:28:39
29,12,Series B,4881117,19,2016-05-26,23.67,6775829,Yes,USD,2022-09-26 19:14:30,2024-02-22 23:55:22
30,12,Pre-Seed,3684487,16,2019-10-16,16.97,14285507,Yes,USD,2023-09-17 15:30:25,2023-05-09 21:33:34
31,13,Bridge,695321,17,2024-11-11,21.67,1074331,Yes,USD,2018-12-26 23:41:25,2024-10-17 05:29:59
32,13,Bridge,560495,6,2024-03-11,15.81,2565703,No,USD,2023-10-10 22:32:00,2024-08-06 22:44:12
33,14,Bridge,918276,11,2023-06-23,9.68,1462201,Yes,USD,2023-03-15 09:37:37,2023-09-05 10:36:34
34,14,Seed,1337319,20,2024-05-03,17.01,2902744,Yes,USD,2022-11-12 10:38:53,2024-05-22 12:18:01
35,14,Series A,4872821,18,2023-01-26,12.93,5962341,Yes,USD,2021-04-06 03:49:28,2023-04-22 12:21:30
36,14,Series A,4995407,5,2024-08-27,28.93,9569298,No,USD,2022-06-12 11:51:05,2024-07-01 17:28:05
37,15,Series B,1997387,12,2019-06-28,5.11,779533,Yes,USD,2020-12-08 08:38:45,2024-10-15 05:33:28
38,16,Series C,4084391,8,2013-05-17,24.35,1494313,Yes,USD,2018-03-15 03:06:46,2023-06-03 10:40:00
39,16,Seed,4454498,2,2024-01-25,11.88,3118836,Yes,USD,2022-07-03 21:41:38,2023-12-19 04:11:10
40,16,Series A,1785720,7,2015-09-03,20.85,6587329,Yes,USD,2022-04-24 05:56:02,2023-01-14 15:40:12
41,16,Pre-Seed,1341702,6,2021-08-20,21.28,17908176,No,USD,2019-07-23 08:44:51,2024-08-10 14:23:15
42,19,Series B,304365,11,2023-10-11,27.1,1272964,Yes,USD,2021-02-08 09:25:42,2024-09-03 11:57:26
43,19,Convertible Note,1272534,13,2024-01-17,27.58,2004344,Yes,USD,2022-01-22 20:19:16,2024-01-17 07:16:21
44,19,Seed,1377288,14,2024-01-30,29.38,4151449,No,USD,2021-12-20 16:12:42,2023-10-02 16:12:50
45,19,Series B,2555371,8,2024-09-16,28.49,10844058,No,USD,2024-02-19 13:40:10,2024-03-02 15:13:27
46,21,Series B,1285454,5,2012-08-28,26.52,984892,No,USD,2023-04-21 11:33:30,2023-01-05 16:57:38
47,21,Series B,711082,14,2024-07-30,10.46,1712335,No,USD,2021-05-16 07:55:46,2024-03-16 19:44:21
48,21,Pre-Seed,946651,10,2019-02-27,24.99,2629579,No,USD,2018-05-11 19:11:34,2023-10-03 12:29:10
49,21,Pre-Seed,307241,9,2015-11-11,27.94,5750438,Yes,USD,2024-05-12 01:44:29,2024-04-02 07:58:47
50,23,Angel,10760662,12,2018-01-20,11.04,952230,Yes,USD,2018-09-17 13:08:21,2024-07-26 11:07:22
51,23,Pre-Seed,4651171,1,2021-05-13,29.81,2412657,Yes,USD,2020-01-28 17:06:19,2023-08-03 10:14:56
52,23,Seed,4873097,20,2020-12-20,24.29,6908121,Yes,USD,2020-07-05 15:39:54,2023-12-05 06:05:51
