id,startup_id,document_type,document_name,file_path,file_size_kb,uploaded_by,status,verified_at,created_at,updated_at
1,1,MOU,armbot-mou.pdf,documents/startups/1/mou-3402.pdf,4903,1,Pending,2024-07-03 09:22:43,2023-05-03 07:22:22,2023-01-17 22:53:41
2,2,Pitch Deck,eduleap-solutions-pitch-deck.pdf,documents/startups/2/pitch-deck-5874.pdf,1137,1,Approved,2024-10-01 13:13:14,2020-01-17 02:50:04,2023-06-22 00:20:07
3,2,IP Filing,eduleap-solutions-ip-filing.pdf,documents/startups/2/ip-filing-5339.pdf,4783,1,Approved,,2024-12-28 15:35:35,2024-01-18 14:04:01
4,2,Incorporation Certificate,eduleap-solutions-incorporation-certificate.pdf,documents/startups/2/incorporation-certificate-3088.pdf,3744,1,Rejected,2024-04-23 08:21:53,2020-09-04 12:31:35,2024-06-17 11:47:01
5,2,GST Certificate,eduleap-solutions-gst-certificate.pdf,documents/startups/2/gst-certificate-2888.pdf,4337,1,Rejected,2022-04-09 02:14:40,2020-06-12 11:01:42,2024-07-08 23:50:02
6,3,Pitch Deck,ecotech-pro-pitch-deck.pdf,documents/startups/3/pitch-deck-8365.pdf,1445,1,Approved,2022-11-25 15:49:44,2022-12-10 04:56:11,2023-06-22 06:18:59
7,3,Pitch Deck,ecotech-pro-pitch-deck.pdf,documents/startups/3/pitch-deck-4761.pdf,1409,1,Pending,,2023-07-27 14:58:40,2023-02-27 22:05:45
8,3,Pitch Deck,ecotech-pro-pitch-deck.pdf,documents/startups/3/pitch-deck-7326.pdf,4548,1,Approved,,2021-07-02 04:52:12,2024-04-07 08:45:14
9,3,Business Plan,ecotech-pro-business-plan.pdf,documents/startups/3/business-plan-3429.pdf,1163,1,Rejected,2023-01-18 15:03:01,2022-03-01 13:09:39,2023-10-10 06:49:36
10,4,Pitch Deck,chefbot-labs-pitch-deck.pdf,documents/startups/4/pitch-deck-5349.pdf,1162,1,Approved,2023-08-28 23:27:10,2023-09-11 19:02:30,2023-12-18 04:10:28
11,4,Audited Report,chefbot-labs-audited-report.pdf,documents/startups/4/audited-report-6606.pdf,4385,1,Rejected,2023-08-03 07:44:25,2021-11-21 07:43:37,2023-07-23 08:29:38
12,4,Audited Report,chefbot-labs-audited-report.pdf,documents/startups/4/audited-report-1874.pdf,1695,1,Rejected,2022-04-10 08:48:18,2022-05-30 11:27:21,2024-08-06 22:19:34
13,4,Financial Statement,chefbot-labs-financial-statement.pdf,documents/startups/4/financial-statement-7385.pdf,3970,1,Pending,2022-05-08 17:39:46,2021-08-25 11:25:06,2024-12-07 04:45:07
14,5,Audited Report,wealthapp-box-audited-report.pdf,documents/startups/5/audited-report-6478.pdf,3975,1,Approved,2022-11-14 13:27:43,2020-09-03 15:03:05,2024-10-14 07:49:26
15,6,GST Certificate,taxiapp-solutions-gst-certificate.pdf,documents/startups/6/gst-certificate-4670.pdf,296,1,Approved,2024-06-03 11:43:10,2020-11-19 19:28:33,2023-06-26 17:01:29
16,6,GST Certificate,taxiapp-solutions-gst-certificate.pdf,documents/startups/6/gst-certificate-4783.pdf,2957,1,Approved,2024-10-19 02:48:49,2024-07-06 20:24:35,2023-05-10 02:14:14
17,7,GST Certificate,securenet-plus-gst-certificate.pdf,documents/startups/7/gst-certificate-2561.pdf,3175,1,Pending,2024-11-17 08:36:35,2021-04-15 09:07:12,2023-11-01 11:52:57
18,7,Audited Report,securenet-plus-audited-report.pdf,documents/startups/7/audited-report-1827.pdf,4656,1,Approved,2023-03-23 09:13:14,2022-08-27 09:56:30,2024-09-29 21:41:46
19,7,MOU,securenet-plus-mou.pdf,documents/startups/7/mou-5567.pdf,2658,1,Pending,,2022-01-27 04:40:30,2024-03-02 03:43:15
20,7,Term Sheet,securenet-plus-term-sheet.pdf,documents/startups/7/term-sheet-1033.pdf,557,1,Approved,,2022-07-15 08:44:50,2024-12-14 07:34:55
21,7,Pitch Deck,securenet-plus-pitch-deck.pdf,documents/startups/7/pitch-deck-9200.pdf,1177,1,Rejected,2024-01-20 09:22:50,2021-12-10 10:01:59,2023-11-14 03:49:20
22,8,Audited Report,powergrid-plus-audited-report.pdf,documents/startups/8/audited-report-1463.pdf,2342,1,Approved,2022-03-23 12:29:52,2023-09-06 19:46:11,2023-10-14 22:16:38
23,8,Financial Statement,powergrid-plus-financial-statement.pdf,documents/startups/8/financial-statement-3104.pdf,1632,1,Rejected,,2021-11-05 19:03:19,2024-02-12 17:56:46
24,8,IP Filing,powergrid-plus-ip-filing.pdf,documents/startups/8/ip-filing-1727.pdf,4195,1,Approved,2023-06-13 06:55:16,2022-10-08 08:57:59,2024-05-15 19:49:47
25,8,Audited Report,powergrid-plus-audited-report.pdf,documents/startups/8/audited-report-8936.pdf,4274,1,Approved,2024-05-20 04:18:20,2024-11-11 16:12:04,2024-12-01 09:02:36
26,8,Incorporation Certificate,powergrid-plus-incorporation-certificate.pdf,documents/startups/8/incorporation-certificate-8244.pdf,952,1,Approved,,2020-03-11 07:49:57,2024-09-27 06:37:23
27,9,MOU,cellbio-tech-mou.pdf,documents/startups/9/mou-4977.pdf,2677,1,Pending,2022-11-02 19:27:31,2022-08-13 10:03:27,2023-07-22 23:46:57
28,9,Audited Report,cellbio-tech-audited-report.pdf,documents/startups/9/audited-report-4544.pdf,1474,1,Approved,,2020-04-04 08:07:45,2024-07-11 09:23:32
29,9,Business Plan,cellbio-tech-business-plan.pdf,documents/startups/9/business-plan-3619.pdf,1686,1,Approved,,2022-03-07 15:28:19,2023-09-06 08:43:54
30,10,IP Filing,tastebox-india-ip-filing.pdf,documents/startups/10/ip-filing-7165.pdf,3660,1,Approved,2022-05-20 13:19:20,2020-12-13 23:30:13,2023-12-24 04:40:58
31,11,DPIIT Certificate,payzen-tech-dpiit-certificate.pdf,documents/startups/11/dpiit-certificate-2100.pdf,1891,1,Approved,2023-04-10 23:24:37,2021-09-02 12:18:22,2024-08-04 09:16:23
32,11,DPIIT Certificate,payzen-tech-dpiit-certificate.pdf,documents/startups/11/dpiit-certificate-1078.pdf,2517,1,Approved,2024-04-30 14:52:23,2020-10-11 01:00:14,2023-11-11 18:38:46
33,11,IP Filing,payzen-tech-ip-filing.pdf,documents/startups/11/ip-filing-2077.pdf,963,1,Pending,2022-11-25 12:18:19,2020-04-13 17:40:16,2023-04-08 00:46:34
34,11,Business Plan,payzen-tech-business-plan.pdf,documents/startups/11/business-plan-8741.pdf,1315,1,Approved,2022-02-06 10:44:42,2023-08-24 08:27:23,2024-07-15 21:31:56
35,11,Term Sheet,payzen-tech-term-sheet.pdf,documents/startups/11/term-sheet-8234.pdf,2463,1,Approved,2022-06-25 18:15:52,2024-01-18 04:37:35,2024-03-21 06:11:29
36,12,Incorporation Certificate,geneticaai-ventures-incorporation-certificate.pdf,documents/startups/12/incorporation-certificate-2827.pdf,1334,1,Rejected,,2023-03-20 17:33:15,2024-06-05 00:48:44
37,12,IP Filing,geneticaai-ventures-ip-filing.pdf,documents/startups/12/ip-filing-2803.pdf,3382,1,Rejected,,2022-04-27 23:39:28,2023-01-05 16:27:14
38,13,MOU,biocore-mou.pdf,documents/startups/13/mou-6833.pdf,3268,1,Approved,2023-03-25 03:52:37,2022-10-04 22:18:15,2024-01-28 04:31:50
39,13,Incorporation Certificate,biocore-incorporation-certificate.pdf,documents/startups/13/incorporation-certificate-5211.pdf,1041,1,Pending,,2020-11-02 17:15:01,2023-11-05 16:26:55
40,14,Term Sheet,orderfresh-ai-term-sheet.pdf,documents/startups/14/term-sheet-3370.pdf,4340,1,Approved,,2023-07-09 17:56:15,2024-06-25 20:48:06
41,14,IP Filing,orderfresh-ai-ip-filing.pdf,documents/startups/14/ip-filing-7562.pdf,1490,1,Approved,2022-01-20 20:47:48,2020-11-19 02:24:16,2024-12-26 13:50:27
42,14,Audited Report,orderfresh-ai-audited-report.pdf,documents/startups/14/audited-report-2663.pdf,2094,1,Pending,2024-12-25 13:08:19,2022-12-26 04:39:43,2023-07-05 05:36:53
43,14,IP Filing,orderfresh-ai-ip-filing.pdf,documents/startups/14/ip-filing-4708.pdf,1130,1,Approved,2022-06-08 10:57:08,2021-02-28 23:22:46,2024-05-17 16:04:18
44,15,Incorporation Certificate,shopzone-labs-incorporation-certificate.pdf,documents/startups/15/incorporation-certificate-9984.pdf,551,1,Approved,2023-07-31 00:21:32,2020-09-23 15:43:39,2024-09-22 02:17:00
45,15,IP Filing,shopzone-labs-ip-filing.pdf,documents/startups/15/ip-filing-2862.pdf,4591,1,Rejected,,2022-04-07 07:32:01,2023-10-31 00:01:19
46,15,GST Certificate,shopzone-labs-gst-certificate.pdf,documents/startups/15/gst-certificate-6982.pdf,1534,1,Pending,2023-07-24 12:59:03,2022-04-06 15:38:11,2024-02-23 16:35:32
47,15,Financial Statement,shopzone-labs-financial-statement.pdf,documents/startups/15/financial-statement-5079.pdf,2472,1,Rejected,2024-06-05 22:39:26,2021-05-07 00:36:20,2024-02-15 15:23:20
48,15,DPIIT Certificate,shopzone-labs-dpiit-certificate.pdf,documents/startups/15/dpiit-certificate-4295.pdf,3676,1,Approved,2024-09-19 16:37:07,2021-04-12 07:39:00,2023-01-08 15:19:27
49,16,Term Sheet,carboncut-hub-term-sheet.pdf,documents/startups/16/term-sheet-7592.pdf,4728,1,Approved,,2021-11-09 00:26:59,2024-10-21 23:34:13
50,16,GST Certificate,carboncut-hub-gst-certificate.pdf,documents/startups/16/gst-certificate-9204.pdf,3954,1,Approved,2022-08-06 13:04:42,2023-05-31 17:44:27,2023-09-15 20:03:23
51,17,Audited Report,farmbyte-pro-audited-report.pdf,documents/startups/17/audited-report-7905.pdf,3671,1,Approved,,2020-08-22 00:25:05,2023-07-01 20:43:21
52,17,Pitch Deck,farmbyte-pro-pitch-deck.pdf,documents/startups/17/pitch-deck-2013.pdf,3359,1,Approved,2023-04-03 08:52:45,2020-09-12 22:11:04,2024-12-17 09:32:58
53,18,GST Certificate,ridefast-plus-gst-certificate.pdf,documents/startups/18/gst-certificate-2432.pdf,2264,1,Approved,2023-10-28 12:02:22,2022-05-11 01:30:15,2024-04-22 14:05:48
54,18,Incorporation Certificate,ridefast-plus-incorporation-certificate.pdf,documents/startups/18/incorporation-certificate-9303.pdf,4468,1,Approved,2022-02-27 10:51:56,2020-09-07 05:23:45,2023-08-30 05:08:00
55,18,Business Plan,ridefast-plus-business-plan.pdf,documents/startups/18/business-plan-2855.pdf,4778,1,Approved,2023-04-21 15:48:45,2020-08-01 09:41:16,2024-12-05 05:56:07
56,18,IP Filing,ridefast-plus-ip-filing.pdf,documents/startups/18/ip-filing-1368.pdf,1331,1,Rejected,,2023-12-02 01:46:08,2024-10-24 23:32:15
57,18,IP Filing,ridefast-plus-ip-filing.pdf,documents/startups/18/ip-filing-9405.pdf,3495,1,Approved,2024-06-23 21:49:59,2023-08-20 15:47:20,2023-09-24 06:40:29
58,19,MOU,nanotech-india-mou.pdf,documents/startups/19/mou-6220.pdf,2418,1,Pending,2023-10-25 23:11:06,2024-03-05 02:47:07,2024-12-12 12:37:52
59,19,Audited Report,nanotech-india-audited-report.pdf,documents/startups/19/audited-report-4111.pdf,3290,1,Approved,,2024-03-03 23:59:41,2024-06-21 01:02:58
