id,startup_name,slug,dpiit_recognized,registration_number,founded_year,founder_count,sector_id,state_id,city,funding_stage,total_funding_usd,valuation_usd,annual_revenue_inr,employee_count,women_led,sustainability_focus,ai_enabled,export_business,website,email,phone,linkedin_url,status,last_funding_date,growth_percentage,jobs_created,patents_filed,description,created_at,updated_at
1,ArmBot,armbot,Yes,DPIIT44541,2016,4,2,7,Lucknow,Series B,42960693,2845397317,3667244443,8367,No,No,Yes,No,https://www.armbot.in,hello@armbot.in,+91-7442660341,https://linkedin.com/company/armbot,Active,2019-03-01,139.8,8232,4,"A innovative HealthTech startup based in Lucknow, focused on scalable solutions.",2017-08-28 20:40:09,2023-08-23 03:08:25
2,EduLeap Solutions,eduleap-solutions,Yes,DPIIT24425,2020,2,14,19,Jamshedpur,Pre-Seed,918682,1390564700,4212355473,7173,No,No,No,No,https://www.eduleap-solutions.co.in,hello@eduleap-solutions.com,+91-8373706137,https://linkedin.com/company/eduleap-solutions,Active,2021-09-19,99.63,391,1,"A leading EV startup based in Jamshedpur, focused on digital transformation.",2020-02-23 21:47:20,2023-08-06 09:30:17
3,EcoTech Pro,ecotech-pro,No,DPIIT87189,2022,1,9,1,Mysuru,Bootstrapped,0,2561569542,6230698191,2087,No,No,No,No,https://www.ecotech-pro.io,hello@ecotech-pro.com,+91-9509666281,https://linkedin.com/company/ecotech-pro,Active,,121.7,1575,0,"A leading Renewable Energy startup based in Mysuru, focused on scalable solutions.",2023-10-07 23:38:07,2023-02-12 18:58:56
4,ChefBot Labs,chefbot-labs,No,DPIIT83445,2015,2,4,2,Nashik,Pre-Seed,1646259,3658629294,6267702860,8269,No,No,No,No,https://www.chefbot-labs.com,hello@chefbot-labs.in,+91-7290805791,https://linkedin.com/company/chefbot-labs,Active,2020-12-25,256.16,7912,3,"A leading AgriTech startup based in Nashik, focused on scalable solutions.",2016-09-05 08:44:08,2023-10-24 01:36:03
5,WealthApp Box,wealthapp-box,Yes,DPIIT77213,2020,4,16,2,Nashik,Series B,78401872,3205412851,4672725742,7672,No,No,No,No,https://www.wealthapp-box.io,hello@wealthapp-box.com,+91-8272872328,https://linkedin.com/company/wealthapp-box,Active,2022-02-25,263.01,5804,2,"A leading ClimateTech startup based in Nashik, focused on scalable solutions.",2020-08-17 01:34:15,2023-10-26 01:40:09
6,TaxiApp Solutions,taxiapp-solutions,Yes,DPIIT17505,2022,3,2,12,Siliguri,Series B,36710648,4536520171,9991759107,522,No,No,No,No,https://www.taxiapp-solutions.in,hello@taxiapp-solutions.io,+91-8201258571,https://linkedin.com/company/taxiapp-solutions,Active,2023-12-13,122.76,182,2,"A leading HealthTech startup based in Siliguri, focused on market disruption.",2023-11-05 18:06:46,2024-12-05 12:41:16
7,SecureNet Plus,securenet-plus,Yes,DPIIT84666,2015,4,15,5,Coimbatore,Seed,2127401,1875823855,8028638280,7808,No,No,No,No,https://www.securenet-plus.io,hello@securenet-plus.com,+91-8332128020,https://linkedin.com/company/securenet-plus,Active,2023-03-09,227.0,1336,28,"A innovative Robotics startup based in Coimbatore, focused on AI-driven insights.",2016-12-04 19:12:04,2023-05-27 02:27:15
8,PowerGrid Plus,powergrid-plus,Yes,DPIIT20957,2018,1,17,17,Guwahati,Seed,4147591,4470302359,9140565939,6691,Yes,No,Yes,Yes,https://www.powergrid-plus.com,hello@powergrid-plus.com,+91-9329462120,https://linkedin.com/company/powergrid-plus,Active,2018-03-26,286.23,6032,2,"A leading FoodTech startup based in Guwahati, focused on scalable solutions.",2018-05-23 15:48:36,2024-03-30 05:19:21
9,CellBio Tech,cellbio-tech,Yes,DPIIT47597,2013,4,9,2,Thane,Series B,28259458,45235663,443878186,414,No,Yes,No,No,https://www.cellbio-tech.com,hello@cellbio-tech.in,+91-7728250595,https://linkedin.com/company/cellbio-tech,Active,2019-08-28,63.87,58,1,"A leading Renewable Energy startup based in Thane, focused on sustainable growth.",2014-01-01 02:39:21,2023-05-02 11:59:59
10,TasteBox India,tastebox-india,No,DPIIT20009,2014,3,6,10,Faridabad,Series A,10617751,28097857,365767982,3533,No,Yes,No,No,https://www.tastebox-india.in,hello@tastebox-india.in,+91-7634711065,https://linkedin.com/company/tastebox-india,Active,2024-01-07,319.01,1601,3,"A emerging SaaS startup based in Faridabad, focused on digital transformation.",2014-04-26 18:27:46,2023-10-13 04:05:20
